Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
118.175,-157.9277776,21.32416961,1443.443927,0.7033553102,36.30320385,96.42165874
119.158,-157.9266195,21.32406773,1704.859906,0.7544867076,31.75320339,96.45376682
120.158,-157.9253194,21.32395084,1965.179655,0.8476340733,28.98180335,96.47666024
121.15,-157.9239068,21.3238214,2217.211133,0.9372857306,26.57569304,96.49700647
122.167,-157.922362,21.32367739,2467.263399,1.005264286,25.11179477,96.53248811
123.15,-157.920702,21.32352022,2715.151411,1.043330744,23.21386778,96.55811187
124.167,-157.9188962,21.32334691,2962.170685,1.067308801,21.69874295,96.59041339
125.15,-157.9170429,21.3231667,3199.489917,1.091698648,21.84072543,96.65226024
126.15,-157.9150353,21.32296824,3455.727395,6.595576484,22.02486846,96.89782589
127.15,-157.913015,21.32275439,3717.3492,27.36289751,22.02109639,98.14426716
128.15,-157.9108908,21.32247912,3996.402802,48.67421523,22.80666779,101.5695767
129.175,-157.9086686,21.32206783,4300.050294,53.60166347,23.12196871,105.6939846
130.158,-157.9065165,21.32152812,4610.788089,35.00818189,24.80238595,108.6194097
131.175,-157.9043315,21.32087151,4961.276334,7.044523875,29.69007452,110.0762251
132.158,-157.9021736,21.32019001,5393.866364,-20.52752144,36.15301401,107.2642823
133.158,-157.9001316,21.31965049,5903.10805,-33.79820707,41.3285864,101.115658
134.158,-157.8981832,21.31930985,6484.310803,-25.14706445,47.30231558,96.13101767
135.158,-157.8964032,21.31911764,7137.698572,9.312144268,55.05374347,97.72794337
136.158,-157.8948599,21.31890511,7856.487249,50.03194445,55.29684433,102.1633319
137.15,-157.8933816,21.31862379,8581.899586,85.88791423,53.97997713,104.0026903
138.15,-157.8918587,21.31829016,9306.769623,-7.347756028,53.92545243,103.9151341
139.15,-157.8903081,21.31795023,10027.96379,-174.7102787,52.1084046,103.9810994
140.15,-157.8886988,21.31760466,10737.25612,56.23093475,51.3997893,104.1218217
141.15,-157.8870533,21.31723327,11438.8941,-62.28636391,50.53635597,102.9223321
142.15,-157.8853554,21.3168955,12131.93162,-173.3813408,46.59648562,101.3277566
143.15,-157.8835321,21.31651826,12786.90361,93.04708024,43.57597977,110.825242
144.15,-157.8817288,21.31592514,13425.54868,20.89771238,49.34924153,115.2008451
145.142,-157.8801124,21.31531163,14094.02865,-54.94419791,53.16272504,105.9041271
146.142,-157.8785268,21.3149076,14782.95398,-115.1898203,48.88141347,95.07209438
147.142,-157.8768099,21.31472144,15427.884,-167.8550487,40.20654085,93.48417094
148.142,-157.8748937,21.31457638,15985.34471,139.4389861,33.34417271,100.5764404
149.142,-157.8728654,21.31424952,16463.25653,83.7952958,33.49668094,110.2114615
150.158,-157.8709172,21.31367061,16927.53603,33.1336353,41.16497559,116.3567588
151.142,-157.8691957,21.31294148,17437.21467,99.32935526,39.80590699,128.3743314
152.142,-157.8675849,21.31198408,17908.81216,-141.3700501,24.98898031,118.5352202
153.167,-157.8657762,21.31109996,18295.57645,-45.28101969,35.11703689,106.157093
154.15,-157.864003,21.31045841,18718.23183,29.76206296,44.66535439,117.7957461
155.15,-157.8624732,21.30975864,19197.49367,89.52677937,41.49294855,133.9844433
156.15,-157.8611571,21.30880799,19657.98654,141.2910006,28.99389874,140.4571088
157.15,-157.8598929,21.30761866,20020.40259,-169.3700145,15.63933369,134.5360541
158.15,-157.8584962,21.30638287,20255.14141,-116.7100088,10.66970498,120.9426816
159.15,-157.8568895,21.30533962,20413.70983,-62.06329748,18.4060986,110.0097925
160.15,-157.855181,21.30455943,20594.06998,-23.55186433,29.80233043,109.5533212
161.142,-157.8535438,21.30394522,20841.58618,-1.381656086,37.27880157,112.5315448
162.142,-157.8520146,21.30338211,21151.86897,16.68487276,32.99431701,115.2331631
163.142,-157.8505351,21.30281428,21459.83542,27.60471611,24.57167041,112.9376739
164.142,-157.8489358,21.30221979,21732.69119,3.347811469,17.81192188,111.5962036
165.142,-157.8472914,21.30160826,21939.09732,-33.27165976,11.60534301,115.8650207
166.142,-157.8456167,21.30091126,22080.39482,-45.11521372,6.288235108,120.8105307
167.142,-157.8439473,21.30009992,22155.73157,-45.04497478,0.4233111944,124.9478005
168.142,-157.8423029,21.29917527,22163.44135,-42.20224472,-3.967606449,126.3704372
169.15,-157.8406578,21.29816126,22112.09984,-34.04500967,-7.120240005,126.1417644
170.15,-157.8390148,21.29710942,22014.34816,-15.9369975,-10.49369801,125.9231211
171.15,-157.8373469,21.29602845,21876.1292,9.703156365,-10.99957775,125.4596774
172.167,-157.8356454,21.29491584,21714.02604,11.44761554,-11.97230155,125.8781053
173.15,-157.8339382,21.29378688,21537.06153,-3.011812229,-12.9696232,125.7780983
174.15,-157.8321293,21.29259339,21336.3969,-18.68364319,-14.10864867,125.258176
175.15,-157.8302999,21.29140335,21120.30002,-19.07576492,-14.62214202,124.6809963
176.15,-157.828411,21.2902021,20892.91686,-22.36790208,-14.09845314,123.6034607
177.142,-157.8264826,21.28902006,20666.50869,-31.62376588,-13.08882635,121.6133223
178.142,-157.8244027,21.28784282,20445.54348,-37.23821519,-9.630962637,117.125114
179.142,-157.822203,21.28676351,20263.88229,-21.87205238,-7.477445173,115.4886569
180.142,-157.8199085,21.28572489,20111.9045,-1.805213068,-6.930685524,115.9641974
181.142,-157.8175593,21.28466846,19974.67885,9.284684246,-6.871944215,116.5299717
182.142,-157.8151707,21.28357832,19837.28113,14.56343716,-8.178823097,116.8208651
183.142,-157.8127483,21.28245793,19685.71538,-2.754570192,-9.041655466,116.80236
184.142,-157.8102876,21.2813201,19519.17026,-13.85007326,-9.907452638,116.6272017
185.142,-157.8077845,21.28017386,19337.93011,-14.19804128,-10.19464793,116.3285825
186.15,-157.8052104,21.27901377,19149.88753,-12.80113166,-9.89612856,115.8619175
187.15,-157.8026028,21.27786164,18966.74115,-11.89340206,-9.553597541,115.4157748
